gene_symbol,cell_type,rho,pvalue,padj,significant
MSR1,Mast_cell,0.1455465587044534,0.3708650891420242,0.5155287763960054,0
NMI,Activated_B_cell,0.1435222672064777,0.377698597378457,0.5205136150470263,0
FZD5,Immature_dendritic_cell,0.142914979757085,0.3797624844475753,0.5205136150470263,0
LYN,Activated_CD8_T_cell,-0.13906882591093114,0.39298123520816053,0.5348911256999963,0
CMKLR1,Type_2_T_helper_cell,0.13765182186234814,0.3979151692733578,0.536088389729448,0
MSR1,Memory_B_cell,-0.137246963562753,0.39933114745152753,0.536088389729448,0
TIMP1,Gamma_delta_T_cell,-0.13582995951417,0.4043089895992007,0.5373280118892829,0
NMI,Monocyte,-0.13542510121457488,0.4057374783653769,0.5373280118892829,0
FZD5,Type_1_T_helper_cell,0.13238866396761131,0.4165392034276154,0.5453916010652435,0
NMI,Activated_CD4_T_cell,0.1317813765182186,0.41871811310053664,0.5453916010652435,0
MSR1,Central_memory_CD8_T_cell,0.13137651821862345,0.42017414163699884,0.5453916010652435,0
MSR1,Natural_killer_T_cell,0.13056680161943318,0.4230943941659635,0.5455690872140057,0
NMI,Plasmacytoid_dendritic_cell,0.12348178137651819,0.4491079458345282,0.575327826036389,0
CMKLR1,Effector_memory_CD4_T_cell,-0.11801619433198378,0.46973120833133164,0.5959383125529756,0
TLR3,CD56bright_natural_killer_cell,-0.11761133603238864,0.471277747171996,0.5959383125529756,0
CMKLR1,CD56bright_natural_killer_cell,-0.11680161943319836,0.47437855906549276,0.5960140870310037,0
FZD5,Effector_memory_CD8_T_cell,0.11295546558704452,0.48924705741090513,0.6107797659397287,0
LYN,Activated_dendritic_cell,0.11133603238866395,0.49557575376740326,0.6147648591038674,0
NMI,Gamma_delta_T_cell,0.10870445344129552,0.5059449195783161,0.6236805297946538,0
TIMP1,CD56dim_natural_killer_cell,0.1074898785425101,0.5107658299399631,0.6256881416764548,0
LYN,Gamma_delta_T_cell,-0.10445344129554654,0.5229138905115287,0.6365908232314262,0
MSR1,Central_memory_CD4_T_cell,0.10020242914979756,0.5401470045993224,0.6535111907497975,0
MSR1,Macrophage,0.09757085020242913,0.5509442893889416,0.6624851577928377,0
FZD5,Plasmacytoid_dendritic_cell,0.09473684210526315,0.5626801020084862,0.6724713414247762,0
CMKLR1,Eosinophil,0.091497975708502,0.5762266129973912,0.6844873705908404,0
MSR1,Gamma_delta_T_cell,0.08724696356275302,0.5942177069951322,0.7016064492231682,0
CMKLR1,Activated_CD8_T_cell,0.08502024291497974,0.6037347544944593,0.708574921442599,0
TLR3,Type_17_T_helper_cell,0.08279352226720646,0.613314198922706,0.7155332320764903,0
TIMP1,Immature_dendritic_cell,-0.08178137651821861,0.6176887711845702,0.7163727760483773,0
MSR1,Activated_CD4_T_cell,0.0797570850202429,0.6264753009128565,0.7210975979950658,0
CMKLR1,Plasmacytoid_dendritic_cell,-0.0791497975708502,0.6291208635569197,0.7210975979950658,0
MSR1,Immature_dendritic_cell,0.07368421052631578,0.6531249113757878,0.739956546992222,0
TIMP1,Monocyte,-0.07368421052631578,0.6531249113757878,0.739956546992222,0
TLR3,CD56dim_natural_killer_cell,-0.07125506072874492,0.6639020618101823,0.7478437018091708,0
NMI,Immature_dendritic_cell,-0.06943319838056679,0.6720272180227762,0.750410099625887,0
MSR1,Type_1_T_helper_cell,0.06902834008097165,0.6738376404803883,0.750410099625887,0
TLR3,Central_memory_CD8_T_cell,0.06477732793522266,0.6929503455999098,0.7673348459750413,0
FZD5,Activated_B_cell,0.06113360323886639,0.7094774171356488,0.7812223244864448,0
FZD5,Activated_CD8_T_cell,0.05910931174089068,0.7187142712733623,0.7869720512266984,0
NMI,Type_2_T_helper_cell,-0.05020242914979756,0.759791198899433,0.8273281943571604,0
MSR1,Monocyte,0.047165991902834,0.773944497830346,0.8380835446118663,0
FZD5,Monocyte,-0.03947368421052631,0.8101005385881823,0.8724159646334271,0
LYN,Immature_dendritic_cell,0.03562753036437246,0.8283240930852056,0.887166788222406,0
LYN,Type_2_T_helper_cell,0.03319838056680161,0.8398782310701702,0.8946528983138771,0
FZD5,Type_2_T_helper_cell,-0.030971659919028335,0.8504975116039326,0.9010676339155177,0
TIMP1,Type_2_T_helper_cell,-0.02469635627530364,0.8805532554913515,0.926440918973543,0
NMI,Eosinophil,-0.023279352226720642,0.8873634565952782,0.926440918973543,0
MSR1,Type_2_T_helper_cell,0.02267206477732793,0.8902844830596224,0.926440918973543,0
CMKLR1,Monocyte,-0.021457489878542506,0.8961306074600706,0.926440918973543,0
CMKLR1,Immature_dendritic_cell,-0.021052631578947364,0.8980804826784345,0.926440918973543,0
NMI,Activated_CD8_T_cell,0.016801619433198377,0.9185862683116428,0.9377234822348021,0
NMI,CD56dim_natural_killer_cell,0.016801619433198377,0.9185862683116428,0.9377234822348021,0
TIMP1,Plasmacytoid_dendritic_cell,0.011336032388663965,0.9450223951293797,0.9597118624111834,0
LYN,Central_memory_CD8_T_cell,-0.009311740890688258,0.9548291308796466,0.9646727301670657,0
FZD5,CD56bright_natural_killer_cell,0.007085020242914978,0.9656237504861394,0.970575667155299,0
TLR3,Activated_B_cell,0.0044534412955465575,0.978388353878046,0.9783883538780461,0
