gene_symbol,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations
IL1B,0.002,0.009,0.049,0.8145,0.17417422,-0.20946544,0.5538847,70.0,16.0,129.0,2000
IL1R1,0.0,0.0,0.0,0.4225,-0.031448483,-0.3612369,0.35495454,111.0,53.0,144.0,2000
IL4R,0.008,0.026,0.09,0.8955,0.22152814,-0.14180984,0.63741285,60.0,10.0,122.0,2000
IL6,0.0195,0.0535,0.138,0.811,0.22010899,-0.29215944,0.68320775,62.0,6.0,136.0,2000
INHBA,0.003,0.0035,0.007,0.432,-0.039085783,-0.48208585,0.42446366,113.0,32.975,152.02499999999986,2000
IRAK2,0.0035,0.008,0.0185,0.4045,-0.06492728,-0.62379634,0.49060437,116.0,25.0,157.0,2000
IRF1,0.001,0.0015,0.0065,0.3725,-0.06518782,-0.49664468,0.4076467,117.0,35.0,155.0,2000
IRF7,0.0,0.0005,0.0005,0.1075,-0.26892608,-0.65273124,0.17611074,144.0,72.975,158.0,2000
ITGA5,0.002,0.0085,0.0295,0.7045,0.11776668,-0.31838253,0.57438004,82.0,20.0,143.0,2000
ITGB3,0.003,0.0065,0.0285,0.515,0.0057104267,-0.4028489,0.49664265,103.0,18.975,152.0,2000
ITGB8,0.0475,0.118,0.302,0.956,0.39059845,-0.062085606,0.7484132,32.0,4.0,109.0,2000
KCNA3,0.0,0.0015,0.0035,0.406,-0.047122687,-0.47731388,0.36254725,113.0,40.0,154.0,2000
KCNJ2,0.0,0.0,0.0,0.089,-0.23916715,-0.5633189,0.107460596,141.0,77.0,157.0,2000
KCNMB2,0.0085,0.024,0.0575,0.56,0.04182988,-0.44303727,0.6403366,97.0,11.0,155.0,2000
KIF1B,0.001,0.002,0.011,0.243,-0.17228074,-0.67260444,0.31869397,134.0,29.0,158.0,2000
KLF6,0.0075,0.024,0.0635,0.7895,0.1644324,-0.23979668,0.65773356,72.0,11.0,134.0,2000
LAMP3,0.0,0.0005,0.0025,0.1765,-0.22233586,-0.73031163,0.2499747,139.0,55.975,158.0,2000
LCP2,0.0015,0.003,0.021,0.6475,0.07897117,-0.3615317,0.51003397,89.0,23.0,149.0,2000
LDLR,0.0005,0.0015,0.011,0.491,-0.004790251,-0.47081295,0.4381795,106.0,28.0,156.0,2000
LIF,0.001,0.002,0.0075,0.7875,0.13783264,-0.28041404,0.4874547,76.0,26.0,132.0,2000
LPAR1,0.0,0.0005,0.001,0.1195,-0.2685038,-0.7270639,0.20523812,144.0,63.975,158.0,2000
LY6E,0.001,0.0045,0.0235,0.771,0.14989108,-0.28723204,0.4872955,75.0,21.0,140.02499999999986,2000
LYN,0.0045,0.015,0.0665,0.8235,0.2083304,-0.2660105,0.63066477,62.5,13.0,131.0,2000
MEFV,0.0005,0.001,0.003,0.1325,-0.23246975,-0.6081129,0.23852006,140.0,56.0,157.0,2000
MET,0.017,0.0425,0.133,0.8605,0.24709958,-0.20779034,0.7130701,57.0,8.0,125.0,2000
MMP14,0.018,0.045,0.1275,0.8785,0.25989604,-0.24531886,0.68603706,53.0,7.0,127.02499999999986,2000
MSR1,0.0115,0.0385,0.1245,0.877,0.2712909,-0.19326322,0.6783229,51.0,8.0,130.0,2000
MXD1,0.0015,0.003,0.0125,0.425,-0.03787765,-0.4338805,0.41691273,113.0,31.975,150.0,2000
MYC,0.0,0.0,0.0015,0.365,-0.07344253,-0.5894315,0.34290525,119.0,43.0,157.0,2000
NAMPT,0.0,0.0,0.0005,0.155,-0.21778509,-0.6611228,0.2350013,139.0,64.0,157.0,2000
NDP,0.0015,0.01,0.043,0.9105,0.18392763,-0.0849222,0.4931247,68.0,16.0,122.0,2000
NFKB1,0.0,0.0005,0.0025,0.364,-0.06669752,-0.44460136,0.359859,116.0,43.0,152.0,2000
NFKBIA,0.023,0.0475,0.11,0.676,0.14143875,-0.50422573,0.689631,77.0,6.0,154.0,2000
NLRP3,0.1955,0.422,0.721,0.9965,0.54838395,0.21356417,0.8277156,13.0,1.0,58.0,2000
NMI,0.008,0.0225,0.066,0.8055,0.19466826,-0.23598365,0.6288308,66.0,12.0,134.0,2000
NMUR1,0.001,0.002,0.0115,0.359,-0.0661758,-0.4129247,0.31673405,117.0,31.0,154.0,2000
NOD2,0.0715,0.178,0.422,0.9895,0.44587114,0.08208697,0.8068858,24.0,3.0,77.0,2000
