model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling
total_association,BST2,0.1637903648513416,0.23765831891425665,-0.33195620134244475,0.6595369310451279,0.6891842271695718,0.49862571287766244,20,26,,,0.9823353820001004,67,0.16379036485134157,0.6891842271695717,0.4644,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,NFKBIA,0.15519312250847278,0.4015662130638326,-0.6824593195996469,0.9928455646165923,0.3864695720399251,0.7032299094234036,20,26,,,0.9839806753369736,68,0.15519312250847278,0.3864695720399251,0.6726,0.9524822695035461,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CSF1,0.1542835466923454,0.22681720764917784,-0.31884885767474463,0.6274159510594355,0.6802109429500537,0.5041695043692521,20,26,,,0.9823353820001004,69,0.1542835466923454,0.6802109429500536,0.4064,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,OSM,0.15291676678148153,0.26023217129275994,-0.3899180303378376,0.6957515639008007,0.5876166886739415,0.5633659636231587,20,26,,,0.9823353820001004,70,0.15291676678148156,0.5876166886739415,0.4848,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,IL1B,0.15162710853125044,0.22625857697859242,-0.3203400126764768,0.6235942297389777,0.6701496604285491,0.5104268888073296,20,26,,,0.9823353820001004,71,0.15162710853125047,0.6701496604285492,0.4274,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,RASGRP1,0.15030438109958155,0.24700619953212385,-0.36494152237248056,0.6655502845716437,0.6085044884876828,0.5497022028866505,20,26,,,0.9823353820001004,72,0.15030438109958155,0.6085044884876828,0.4512,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,TLR3,0.14988830107995302,0.2937983617985892,-0.4629643424984875,0.7627409446583935,0.510174053260064,0.6155139418861388,20,26,,,0.9823353820001004,73,0.14988830107995302,0.5101740532600639,0.5428,0.8881423076923077,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,KLF6,0.14905853164522465,0.24841332344567987,-0.3691225808762889,0.6672396441667382,0.6000424195355972,0.5552164373761,20,26,,,0.9823353820001004,74,0.1490585316452246,0.6000424195355969,0.4846,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,ADRM1,0.1489628617999377,0.27332047521102354,-0.4211736588795856,0.7190993824794609,0.5450117181485485,0.5917718678673076,20,26,,,0.9823353820001004,75,0.14896286179993773,0.5450117181485487,0.5348,0.8881423076923077,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,LY6E,0.1449582956719202,0.2227704279279206,-0.31973267411749057,0.609649265461331,0.6507070845095417,0.5226416496492818,20,26,,,0.9823353820001004,76,0.14495829567192017,0.6507070845095414,0.4622,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,RGS16,0.13171686899911925,0.23893896260052871,-0.36670107311320244,0.6301348111114409,0.5512573904463239,0.5875636570850711,20,26,,,0.9823353820001004,77,0.13171686899911925,0.5512573904463239,0.5154,0.8881423076923077,4999,Rademacher,HC3 (residual/(1-leverage))
