model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta
total_mean_severity,RNF144B,0.052699823313030844,0.24135864979761096,-0.4507654978462215,0.5561651444722832,0.21834652852599976,0.8293716563506941,20.0,26,,,0.9839806753369736,95
total_mean_severity,ABI1,0.05133901694415728,0.29432857490414355,-0.5626196317917309,0.6652976656800456,0.17442756606584084,0.8632830442611994,20.0,26,,,0.9839806753369736,96
total_mean_severity,TACR3,0.04512475228794196,0.20851749828407737,-0.3898351272479602,0.4800846318238441,0.21640750852700852,0.8308621657372399,20.0,26,,,0.9839806753369736,97
total_mean_severity,KCNMB2,0.03830724849004099,0.2850068301440888,-0.5562065814116312,0.6328210783917131,0.13440817706254365,0.8944232175643201,20.0,26,,,0.9952032984166378,98
total_mean_severity,EIF2AK2,0.03679076621345957,0.22366033113705552,-0.42975650914181124,0.5033380415687304,0.16449392713683667,0.8709934511308682,20.0,26,,,0.9839806753369736,99
total_mean_severity,ITGB3,0.02970028904709618,0.29503333345668387,-0.5857284602685391,0.6451290383627315,0.10066757101348586,0.9208166827353866,20.0,26,,,0.9953961976708596,100
total_mean_severity,SGMS2,0.02844883095823283,0.2512692448883175,-0.49568962930088556,0.5525872912173512,0.11322050564078219,0.9109845213083761,20.0,26,,,0.9953961976708596,101
total_mean_severity,TAPBP,0.022803612715632783,0.2561839137017182,-0.5115866670436569,0.5571938924749225,0.08901266432436362,0.9299571736919421,20.0,26,,,0.9953961976708596,102
total_mean_severity,HBEGF,0.01654246514806345,0.22905064288357718,-0.4612488034798192,0.49433373377594614,0.0722218673556473,0.9431427172262803,20.0,26,,,0.9953961976708596,103
total_mean_severity,ADORA2B,0.01370324837165425,0.21038986996789286,-0.4251623300563826,0.4525688267996911,0.06513264338128767,0.9487150380381724,20.0,26,,,0.9953961976708596,104
total_mean_severity,BTG2,0.007792300341157216,0.2691481416068303,-0.55364088495022,0.5692254856325344,0.02895171519534455,0.9771900552435164,20.0,26,,,0.9953961976708596,105
total_mean_severity,IL18R1,0.005946426164691411,0.3133041053614647,-0.6475944854976483,0.6594873378270312,0.018979726288076915,0.9850453517107824,20.0,26,,,0.9953961976708596,106
total_mean_severity,PDE4B,0.005570909638304658,0.24574417955622874,-0.5070424662943209,0.5181842855709302,0.02266954866790641,0.9821385195192569,20.0,26,,,0.9953961976708596,107
total_mean_severity,LDLR,0.005420253467027583,0.2728116741946471,-0.5636549268904026,0.5744954338244578,0.019868114086497312,0.9843454610747655,20.0,26,,,0.9953961976708596,108
total_mean_severity,CHST2,0.003145781026652389,0.2218168552460729,-0.4595560710041129,0.4658476330574176,0.014181884524341541,0.9888253920601997,20.0,26,,,0.9953961976708596,109
total_mean_severity,CD55,0.0012315857827342458,0.21079438576470347,-0.43847779781129115,0.44094096937675964,0.005842592905244581,0.9953961976708596,20.0,26,,,0.9953961976708596,110
total_mean_severity,SRI,-0.0033611968141433884,0.25721990434795033,-0.5399125151931825,0.5331901215648958,-0.013067405583032097,0.9897034903963289,20.0,26,,,0.9953961976708596,111
total_mean_severity,AQP9,-0.006114363963959452,0.26434588270575177,-0.5575302127233799,0.5453014847954609,-0.023130165302273544,0.9817756640408069,20.0,26,,,0.9953961976708596,112
total_mean_severity,IL15,-0.012357734875667936,0.2558771513448818,-0.5461081195715998,0.5213926498202639,-0.0482955778220763,0.961959714607324,20.0,26,,,0.9953961976708596,113
total_mean_severity,GNAI3,-0.01645549854183577,0.2583273980484227,-0.5553170082981375,0.5224060112144658,-0.06370016756314495,0.9498413401419286,20.0,26,,,0.9953961976708596,114
total_mean_severity,CXCL8,-0.02837235777004428,0.29113983790786924,-0.63567941768876,0.5789347021486714,-0.09745268106875388,0.9233369274481549,20.0,26,,,0.9953961976708596,115
total_mean_severity,IL1R1,-0.03534022019290262,0.18056493750114477,-0.41199207967813084,0.3413116392923256,-0.19572028037103587,0.846803948173839,20.0,26,,,0.9839806753369736,116
total_mean_severity,MXD1,-0.037200495681101606,0.22773380351730815,-0.5122448855250263,0.43784389416282316,-0.16335078546331971,0.8718816110580778,20.0,26,,,0.9839806753369736,117
total_mean_severity,INHBA,-0.04178083383469969,0.2771080471499571,-0.6198180911327281,0.5362564234633288,-0.15077452374412634,0.8816639156175744,20.0,26,,,0.9879638203374238,118
total_mean_severity,KCNA3,-0.04658972948040992,0.22966069883204085,-0.525653552517575,0.4324740935567551,-0.2028633097319044,0.8412914505098997,20.0,26,,,0.9839806753369736,119
total_mean_severity,TACR1,-0.048736851700505214,0.28474071981418353,-0.6426955851810552,0.5452218817800447,-0.17116221288023004,0.8658160775705165,20.0,26,,,0.9839806753369736,120
total_mean_severity,SLC11A2,-0.05115669827407119,0.2891640077297337,-0.6543422486631915,0.552028852115049,-0.17691239886910354,0.8613564959315179,20.0,26,,,0.9839806753369736,121
