model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max,candidate_tier,maximum_cooks_distance,maximum_cooks_donor,maximum_absolute_severity_dfbeta
total_association,ACVR1B,0.3103916042252093,0.2812302698227376,-0.2762444588897297,0.8970276673401483,1.1036920187178016,0.2828297259256558,20,26,,,0.954330993468347,31,0.3103916042252093,1.1036920187178016,0.2612,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.0305,0.0795,0.2035,0.88,0.2946345,-0.2333721,0.71769077,48.0,5.0,137.0,2000,0.0,0.0,0.038461538461538464,1.0,0.1427900508156713,0.44921819502759947,15,32.0,78,not prioritized,,,
total_association,MSR1,0.3009372168183741,0.2574630295935448,-0.23612125193608263,0.8379956855728308,1.168856038451275,0.2562051737277643,20,26,,,0.954330993468347,32,0.30093721681837415,1.1688560384512754,0.2064,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.0115,0.0385,0.1245,0.877,0.2712909,-0.19326322,0.6783229,51.0,8.0,130.0,2000,0.0,0.0,0.038461538461538464,1.0,0.20233104788990536,0.37673211152611186,20,33.5,61,not prioritized,,,
total_association,GPC3,0.2949909896494577,0.2841117882710802,-0.29765581562134613,0.8876377949202615,1.0382919745941597,0.31152487346960006,20,26,,,0.954330993468347,33,0.2949909896494577,1.0382919745941597,0.282,0.8101090909090908,4999,Rademacher,HC3 (residual/(1-leverage)),0.0395,0.0785,0.191,0.8765,0.28631985,-0.24126874,0.67277336,48.0,4.0,139.02499999999986,2000,0.0,0.0,0.038461538461538464,1.0,0.1216701827316679,0.43127765995428674,16,35.0,77,not prioritized,,,
total_association,PTGER2,0.29298367976707446,0.23312822920891135,-0.19331328488852634,0.7792806444226752,1.2567490464851656,0.22332485159070709,20,26,,,0.954330993468347,34,0.2929836797670744,1.256749046485165,0.1806,0.7840216216216217,4999,Rademacher,HC3 (residual/(1-leverage)),0.0055,0.029,0.1145,0.8905,0.2754141,-0.20588781,0.5965907,50.0,10.0,132.02499999999986,2000,0.0,0.0,0.0,1.0,0.14868500203882692,0.35878897056989556,25,34.0,64,not prioritized,,,
total_association,HIF1A,0.28871756993529657,0.272109870922768,-0.2788936744498223,0.8563288143204155,1.0610330634320952,0.30132044239144395,20,26,,,0.954330993468347,35,0.28871756993529657,1.061033063432095,0.2444,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.0315,0.0865,0.205,0.877,0.2915305,-0.23946698,0.7261166,48.0,5.0,134.02499999999986,2000,0.0,0.0,0.0,1.0,0.134847227412082,0.39792302017208325,25,35.0,73,not prioritized,,,
total_association,GPR183,0.2740712599536812,0.27578765064926497,-0.3012116985080058,0.8493542184153682,0.9937764048116622,0.3322038268402474,20,26,,,0.954330993468347,36,0.27407125995368126,0.993776404811662,0.3016,0.8360140350877193,4999,Rademacher,HC3 (residual/(1-leverage)),0.0095,0.035,0.125,0.8625,0.27317798,-0.21227683,0.69654787,49.0,9.0,126.0,2000,0.0,0.0,0.0,1.0,0.11080500771447084,0.4195560168008266,24,37.0,81,not prioritized,,,
total_association,CDKN1A,0.2708708423960099,0.23015998701123164,-0.209234477532599,0.7509761623246187,1.1768806816225255,0.2530602634047278,20,26,,,0.954330993468347,37,0.27087084239600995,1.1768806816225255,0.2164,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.002,0.016,0.076,0.897,0.26364294,-0.1643442,0.60979563,52.0,12.0,120.0,2000,0.0,0.0,0.0,1.0,0.14675305472696873,0.3613674694189938,27,38.0,65,not prioritized,,,
total_association,RIPK2,0.2659664391709628,0.21861489141727464,-0.1900562333534619,0.7219891116953875,1.2165979977242598,0.2379202670515338,20,26,,,0.954330993468347,38,0.26596643917096274,1.2165979977242596,0.1562,0.7712375,4999,Rademacher,HC3 (residual/(1-leverage)),0.023,0.056,0.1295,0.923,0.28635836,-0.10826808,0.7082468,48.0,6.0,111.0,2000,0.0,0.0,0.0,1.0,0.20867958223103797,0.37710965043606903,26,40.0,52,not prioritized,,,
total_association,MET,0.2613395568558376,0.25431632321644854,-0.26915499741671806,0.7918341111283933,1.027616133917647,0.31639908075663625,20,26,,,0.954330993468347,39,0.2613395568558376,1.0276161339176468,0.2606,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.017,0.0425,0.133,0.8605,0.24709958,-0.20779034,0.7130701,57.0,8.0,125.0,2000,0.0,0.0,0.0,1.0,0.12446590876933811,0.3749424779683277,26,40.5,76,not prioritized,,,
total_association,SELL,0.2601073311964587,0.19054626212397435,-0.13736520660728652,0.6575798690002039,1.365061315279048,0.18739404501043677,20,26,,,0.954330993468347,40,0.2601073311964587,1.365061315279048,0.0944,0.6779636363636364,4999,Rademacher,HC3 (residual/(1-leverage)),0.006,0.016,0.083,0.949,0.27548453,-0.04686188,0.6772716,50.0,13.0,109.0,2000,0.0,0.0,0.0,1.0,0.18719656853021074,0.3368790168858618,31,40.5,59,not prioritized,,,
